,name,main_category,rating,reviews,categories,address,city,country,state,zipcode,broader_category,Weighted_Score,Weighted_Average,All_Cities
2515,Two Rivers Park,Park,4.8,496.0,"Park, Tourist attraction","RH6X+QC Two Rivers Park, 6900 Two Rivers Park Road, Little Rock, AR 72223",Little-rock,USA,AR,,Nature,2380.7999999999997,4.6,"Little-rock, Orlando"
2516,Julius Breckling Riverfront Park,Park,4.6,431.0,Park,"Julius Breckling Riverfront Park, 400 President Clinton Ave, Little Rock, AR 72201",Little-rock,USA,AR,,Nature,1982.6,4.6,"Little-rock, Orlando"
2517,Wildwood Park for the Arts,Park,4.7,405.0,"Park, Arts organization, Botanical garden, Hiking area, Performing arts theater","Wildwood Park for the Arts, 20919 Denny Rd, Little Rock, AR 72223",Little-rock,USA,AR,,Nature,1903.5,4.6,"Little-rock, Orlando"
2518,Historic Arkansas Museum,Museum,4.6,369.0,"Museum, Art museum, History museum, Local history museum, Tourist attraction","Historic Arkansas Museum, 200 E 3rd St, Little Rock, AR 72201",Little-rock,USA,AR,,Cultural,1697.3999999999999,4.75,"Little-rock, Orlando"
2519,Mosaic Templars Cultural Center,Museum,4.7,363.0,"Museum, Tourist attraction","Mosaic Templars Cultural Center, 501 W 9th St, Little Rock, AR 72201",Little-rock,USA,AR,,Cultural,1706.1000000000001,4.75,"Little-rock, Orlando"
2520,MacArthur Museum of Arkansas Military History,History museum,4.6,314.0,"History museum, Historical landmark, Historical place museum, Museum, Tourist attraction","MacArthur Museum of Arkansas Military History, 503 E 9th St, Little Rock, AR 72202",Little-rock,USA,AR,,Cultural,1444.3999999999999,4.75,"Little-rock, Orlando"
2521,Knoop Park,Park,4.8,196.0,"Park, Tourist attraction","Knoop Park, 20 Ozark Point, Little Rock, AR 72202",Little-rock,USA,AR,,Nature,940.8,4.6,"Little-rock, Orlando"
2522,Esse Purse Museum & Store,Museum,4.7,187.0,"Museum, Fashion accessories store, History museum, Tourist attraction","Esse Purse Museum & Store, 1510 Main St, Little Rock, AR 72202",Little-rock,USA,AR,,Cultural,878.9,4.75,"Little-rock, Orlando"
2523,Burns Park Funland,Amusement park,4.2,186.0,"Amusement park, Tourist attraction","Burns Park Funland, 25 Funland Dr, North Little Rock, AR 72114",Little-rock,USA,AR,,Entertainment,781.2,4.2,"Little-rock, Orlando"
2524,H.U. Lee International Gate and Garden,Park,4.5,147.0,"Park, Tourist attraction","H.U. Lee International Gate and Garden, 101 E Markham St, Little Rock, AR 72201",Little-rock,USA,AR,,Nature,661.5,4.6,"Little-rock, Orlando"
